L7Thu		Luke 11:47-12:1		215
L7Fri		Luke 12:2-12		216
L7Sat		Luke 9:1-6		217
L7Sun	7th of Luke	Luke 8:41-56		218
L8Mon		Luke 12:13-15,22-31		219
L8Tue		Luke 12:42-48		220
L8Wed		Luke 12:48-59		221
L8Thu		Luke 13:1-9		222
L8Fri		Luke 13:31-35		223
L8Sat		Luke 9:37-43		224
L8Sun	8th of Luke	Luke 10:25-37		225
L9Mon		Luke 14:1,12-15		226
L9Tue		Luke 14:25-35		227
L9Wed		Luke 15:1-10		228
L9Thu		Luke 16:1-9		229
L9Fri		Luke 16:15-18,17:1-4		230
L9Sat		Luke 9:57-62		231
L9Sun	9th of Luke	Luke 12:16-21,8:8		232
L10Mon		Luke 17:20-25		233
L10Tue		Luke 17:26-37		234
L10Wed		Luke 18:15-17,26-30		235
L10Thu		Luke 18:31-34		236
L10Fri		Luke 19:12-28		237
L10Sat		Luke 10:19-21		238
L10Sun	10th of Luke	Luke 13:10-17		239
L11Mon		Luke 19:37-44		240
L11Tue		Luke 19:45-48		241
L11Wed		Luke 20:1-8		242
L11Thu		Luke 20:9-18		243
L11Fri		Luke 20:19-26		244
L11Sat		Luke 12:32-40		245
L11Sun	11th of Luke	Luke 14:16-24; Matthew 22:14		246
L12Mon		Luke 20:27-44		247
L12Tue		Luke 21:12-19		248
L12Wed		Luke 21:5-8, 10-11, 20-24		249
L12Thu		Luke 21:28-33		250
L12Fri		Luke 21:37-22:8		251
L12Sat		Luke 13:18-29		252
L12Sun	12th of Luke	Luke 17:12-19		253
L13Mon		Mark 8:11-21		254
L13Tue		Mark 8:22-26		255
L13Wed		Mark 8:30-34		256
L13Thu		Mark 9:10-15		257
L13Fri		Mark 9:33-41		258
L13Sat		Luke 14:1-11		259
L13Sun	13th of Luke	Luke 18:18-27		260
L14Mon		Mark 9:42-10:1		261
L14Tue		Mark 10:2-12		262
L14Wed		Mark 10:11-16		263
L14Thu		Mark 10:17-27		264
L14Fri		Mark 10:24-32		265
